Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-17 00:00:00-04:00,54.146250188404125,54.62762683171304,53.5400686665934,53.92338943481445,20454800,0.0,0.0
2020-06-18 00:00:00-04:00,53.79858993522118,53.94122069575572,52.8804046268167,53.55790328979492,24899700,0.0,0.0
2020-06-19 00:00:00-04:00,54.06602733114416,54.279971778555975,52.68428775568947,53.1478385925293,60336100,0.0,0.0
2020-06-22 00:00:00-04:00,53.24589437205393,53.97687742027667,52.44359764625567,53.56681442260742,22846000,0.0,0.0
2020-06-23 00:00:00-04:00,53.65596181689746,53.90556821056359,53.36178734656497,53.4152717590332,22809600,0.0,0.0
2020-06-24 00:00:00-04:00,53.16566225358298,53.31720933837972,52.30096141835097,52.67536926269531,27764500,0.0,0.0
2020-06-25 00:00:00-04:00,52.57731600350629,52.67537529302682,51.240151293140656,52.1583366394043,21906900,0.0,0.0
2020-06-26 00:00:00-04:00,52.14050666766023,52.35445110016153,50.87465573978337,51.25797653198242,38477500,0.0,0.0
2020-06-29 00:00:00-04:00,51.23123178794365,52.0156992023339,50.59830465509398,51.94438552856445,22150300,0.0,0.0
2020-06-30 00:00:00-04:00,52.33662234929174,53.4687554676345,52.18507865815046,53.33504104614258,31542100,0.0,0.0
2020-07-01 00:00:00-04:00,53.40635585325547,53.513328072827676,52.3811949305497,52.4257698059082,14748100,0.0,0.0
2020-07-02 00:00:00-04:00,52.76451727848987,53.31721446371969,52.56840210363361,52.71103286743164,15578600,0.0,0.0
2020-07-06 00:00:00-04:00,52.345532235119435,53.14782886697956,52.23855663040337,53.076515197753906,20536700,0.0,0.0
2020-07-07 00:00:00-04:00,52.65754053837646,53.10326206208074,51.828498232239674,51.980045318603516,15996500,0.0,0.0
2020-07-08 00:00:00-04:00,52.10484392671661,52.32770467627435,51.64129315956629,52.247474670410156,13277900,0.0,0.0
2020-07-09 00:00:00-04:00,51.88199455100463,52.372287627399274,51.4362729541757,52.07810974121094,20683700,0.0,0.0
2020-07-10 00:00:00-04:00,51.6591258039842,53.210234817957144,51.55215358936875,53.067604064941406,17742300,0.0,0.0
