Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-17 00:00:00-04:00,186.85545304847912,188.09139178921902,185.57162171808363,186.09857177734375,25687800,0.0,0.0
2020-06-18 00:00:00-04:00,185.8686191262758,188.25425769653995,185.8686191262758,188.0913848876953,23061600,0.0,0.0
2020-06-19 00:00:00-04:00,190.2662302616709,190.93688730881695,186.2231075527269,186.9704132080078,44441100,0.0,0.0
2020-06-22 00:00:00-04:00,187.58360563324936,192.34529305829906,187.04707994353592,192.16326904296875,32818900,0.0,0.0
2020-06-23 00:00:00-04:00,193.61950037935048,195.4015400419146,192.98716042377694,193.44705200195312,30917400,0.0,0.0
2020-06-24 00:00:00-04:00,193.1500333434356,194.73086849459517,188.3212744692766,189.54762268066406,36740600,0.0,0.0
2020-06-25 00:00:00-04:00,189.50932496716712,192.2015430271898,187.27698387837606,191.94285583496094,27803900,0.0,0.0
2020-06-26 00:00:00-04:00,191.35843741947582,191.51173462779505,186.71173091870725,188.1009521484375,54675800,0.0,0.0
2020-06-29 00:00:00-04:00,187.574046721713,190.20878281171676,185.437519367567,190.12255859375,26701600,0.0,0.0
2020-06-30 00:00:00-04:00,189.585968889164,195.83267600358784,189.45183750006225,194.97998046875,34310300,0.0,0.0
2020-07-01 00:00:00-04:00,194.6255211499115,197.70098256301688,193.31294846872325,196.12013244628906,32061200,0.0,0.0
2020-07-02 00:00:00-04:00,197.05908507961797,199.30101701630502,196.40759373713468,197.61477661132812,29315800,0.0,0.0
2020-07-06 00:00:00-04:00,200.07706702491933,202.28066737309322,199.36807824286504,201.86868286132812,31897600,0.0,0.0
2020-07-07 00:00:00-04:00,201.6291326622737,205.6722554862354,199.2722500267943,199.52134704589844,33600700,0.0,0.0
2020-07-08 00:00:00-04:00,201.26505176370065,204.3213325893784,199.94288893945347,203.90936279296875,33600000,0.0,0.0
2020-07-09 00:00:00-04:00,207.2626608673324,207.31056807147002,202.6063642381437,205.3369140625,33121700,0.0,0.0
2020-07-10 00:00:00-04:00,204.6662498986094,205.1069757258136,202.23271880356717,204.7141571044922,26177600,0.0,0.0
2020-07-13 00:00:00-04:00,205.49021185970298,206.75489197026513,197.84469225248222,198.39080810546875,38135600,0.0,0.0
2020-07-14 00:00:00-04:00,197.49020560640852,200.09619982171807,193.56204847648868,199.61715698242188,37591800,0.0,0.0
2020-07-15 00:00:00-04:00,200.77640828518986,202.47222382543762,196.4362818534303,199.3201141357422,32179400,0.0,0.0
2020-07-16 00:00:00-04:00,196.79081135729675,197.0782400122111,193.83032983590473,195.3728485107422,29940700,0.0,0.0
